;Date;Open;High;Low;Close;Adj Close;Volume;Symbol
580;8/3/2016;363.943;373.648;359.177;371.923;371.923;2875880.0;BTC-USD
581;8/4/2016;371.197;375.256;370.742;374.845;374.845;1593350.0;BTC-USD
582;8/5/2016;374.201;374.201;369.911;372.904;372.904;1162030.0;BTC-USD
583;8/6/2016;372.116;377.094;369.517;376.018;376.018;1371060.0;BTC-USD
584;8/7/2016;375.868;381.002;374.597;378.032;378.032;1335400.0;BTC-USD
585;8/8/2016;377.451;379.781;374.781;378.551;378.551;1379300.0;BTC-USD
586;8/9/2016;378.284;378.485;374.234;375.975;375.975;1878160.0;BTC-USD
587;8/10/2016;376.176;380.734;37.195;372.242;372.242;1656370.0;BTC-USD
588;8/11/2016;371.741;374.735;364.016;374.217;374.217;2374230.0;BTC-USD
589;8/12/2016;373.846;375.039;368.547;370.935;370.935;2025430.0;BTC-USD
590;8/13/2016;370.867;37.546;368.415;371.441;371.441;2473190.0;BTC-USD
591;8/14/2016;371.571;372.246;361.257;365.021;365.021;2655030.0;BTC-USD
592;8/15/2016;364.829;368.247;356.978;357.708;357.708;3314040.0;BTC-USD
593;8/16/2016;358.503;364.793;358.195;363.772;363.772;2302180.0;BTC-USD
594;8/17/2016;364.511;364.873;359.291;359.944;359.944;1830120.0;BTC-USD
595;8/18/2016;36.028;364.157;36.028;360.712;360.712;1645410.0;BTC-USD
596;8/19/2016;361.098;362.465;359.876;360.409;360.409;1433570.0;BTC-USD
597;8/20/2016;3.608;362.634;359.959;361.556;361.556;1642330.0;BTC-USD
598;8/21/2016;361.941;362.654;360.346;361.507;361.507;1321380.0;BTC-USD
599;8/22/2016;361.742;366.208;360.452;365.726;365.726;2685030.0;BTC-USD
600;8/23/2016;366.442;400.517;36.599;393.073;393.073;12154100.0;BTC-USD
601;8/24/2016;392.881;394.796;383.992;385.505;385.505;4425210.0;BTC-USD
602;8/25/2016;385.649;387.121;377.677;380.207;380.207;3206370.0;BTC-USD
603;8/26/2016;380.192;384.735;379.237;382.638;382.638;2392690.0;BTC-USD
604;8/27/2016;382.494;383.059;372.654;373.677;373.677;6505780.0;BTC-USD
605;8/28/2016;373.608;375.711;373.169;373.983;373.983;2380150.0;BTC-USD
606;8/29/2016;373.766;378.583;373.766;375.952;375.952;2610000.0;BTC-USD
607;8/30/2016;376.752;382.379;375.331;380.406;380.406;2315030.0;BTC-USD
608;8/31/2016;380.607;381.357;378.106;379.744;379.744;1678550.0;BTC-USD
609;9/1/2016;379.563;385.226;379.045;383.201;383.201;2241890.0;BTC-USD
610;9/2/2016;383.675;38.368;380.919;382.457;382.457;1984050.0;BTC-USD
611;9/3/2016;382.702;390.724;380.685;388.875;388.875;2484220.0;BTC-USD
612;9/4/2016;38.931;404.032;388.079;401.444;401.444;4834060.0;BTC-USD
613;9/5/2016;402.154;403.356;396.584;397.919;397.919;4245990.0;BTC-USD
614;9/6/2016;398.424;398.729;395.192;397.236;397.236;1699160.0;BTC-USD
615;9/7/2016;398.913;412.653;394.785;396.988;396.988;1988370.0;BTC-USD
616;9/8/2016;396.945;400.711;395.715;398.834;398.834;2425520.0;BTC-USD
617;9/9/2016;398.371;398.604;395.935;396.999;396.999;1450080.0;BTC-USD
618;9/10/2016;397.222;397.796;395.672;396.898;396.898;661652.0;BTC-USD
619;9/11/2016;396.853;399.351;38.535;385.545;385.545;2100480.0;BTC-USD
620;9/12/2016;387.034;387.034;379.108;382.319;382.319;2454330.0;BTC-USD
621;9/13/2016;38.318;38.495;380.952;382.171;382.171;2219650.0;BTC-USD
622;9/14/2016;381.881;384.727;381.881;383.216;383.216;1322330.0;BTC-USD
623;9/15/2016;383.005;384.339;38.017;381.192;381.192;1793220.0;BTC-USD
624;9/16/2016;381.537;382.528;380.207;380.619;380.619;1663730.0;BTC-USD
625;9/17/2016;380.028;382.074;379.659;380.542;380.542;1568340.0;BTC-USD
626;9/18/2016;38.102;409.223;380.688;40.434;40.434;1727830.0;BTC-USD
627;9/19/2016;404.262;419.906;382.256;383.116;383.116;1606420.0;BTC-USD
628;9/20/2016;382.936;385.859;382.361;384.207;384.207;2263260.0;BTC-USD
629;9/21/2016;386.921;386.921;376.174;384.037;384.037;3853090.0;BTC-USD
630;9/22/2016;385.651;38.622;376.757;376.757;376.757;1445220.0;BTC-USD
631;9/23/2016;37.652;38.205;376.075;381.291;381.291;1572350.0;BTC-USD
632;9/24/2016;381.472;383.544;379.868;380.514;380.514;2118420.0;BTC-USD
633;9/25/2016;379.601;381.373;37.762;380.838;380.838;1540650.0;BTC-USD
634;9/26/2016;379.999;386.713;379.574;385.874;385.874;2148250.0;BTC-USD
635;9/27/2016;385.684;387.376;384.234;385.224;385.224;1734250.0;BTC-USD
636;9/28/2016;385.058;387.425;383.246;383.761;383.761;1905040.0;BTC-USD
637;9/29/2016;383.783;386.207;383.302;384.561;384.561;1674200.0;BTC-USD
638;9/30/2016;38.445;385.248;381.953;38.416;38.416;2104930.0;BTC-USD
639;10/1/2016;384.776;385.661;38.388;384.922;384.922;1426340.0;BTC-USD
640;10/2/2016;384.629;387.609;38.156;384.231;384.231;1373630.0;BTC-USD
641;10/3/2016;385.015;385.302;382.529;383.797;383.797;1207110.0;BTC-USD
642;10/4/2016;383.891;383.891;381.971;382.303;382.303;1116870.0;BTC-USD
